symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
goog,2016-05-16 00:00:00+00:00,716.49,718.48,705.65,709.13,1317069,716.49,718.48,705.65,709.13,1317069,0.0,1.0
goog,2016-05-17 00:00:00+00:00,706.23,721.52,704.11,715.99,2001225,706.23,721.52,704.11,715.99,2001225,0.0,1.0
goog,2016-05-18 00:00:00+00:00,706.63,711.6,700.63,703.67,1766836,706.63,711.6,700.63,703.67,1766836,0.0,1.0
goog,2016-05-19 00:00:00+00:00,700.32,706.0,696.8,702.36,1670234,700.32,706.0,696.8,702.36,1670234,0.0,1.0
goog,2016-05-20 00:00:00+00:00,709.74,714.58,700.52,701.62,1828387,709.74,714.58,700.52,701.62,1828387,0.0,1.0
goog,2016-05-23 00:00:00+00:00,704.24,711.4781,704.18,706.53,1330692,704.24,711.4781,704.18,706.53,1330692,0.0,1.0
goog,2016-05-24 00:00:00+00:00,720.09,720.97,706.86,706.86,1929467,720.09,720.97,706.86,706.86,1929467,0.0,1.0
goog,2016-05-25 00:00:00+00:00,725.27,727.51,719.7047,720.76,1632564,725.27,727.51,719.7047,720.76,1632564,0.0,1.0
goog,2016-05-26 00:00:00+00:00,724.12,728.33,720.28,722.87,1576286,724.12,728.33,720.28,722.87,1576286,0.0,1.0
goog,2016-05-27 00:00:00+00:00,732.66,733.936,724.0,724.01,1974962,732.66,733.936,724.0,724.01,1974962,0.0,1.0
goog,2016-05-31 00:00:00+00:00,735.72,739.73,731.26,731.74,2129545,735.72,739.73,731.26,731.74,2129545,0.0,1.0
goog,2016-06-01 00:00:00+00:00,734.15,737.21,730.66,734.53,1253593,734.15,737.21,730.66,734.53,1253593,0.0,1.0
goog,2016-06-02 00:00:00+00:00,730.4,733.02,724.17,732.5,1341807,730.4,733.02,724.17,732.5,1341807,0.0,1.0
goog,2016-06-03 00:00:00+00:00,722.34,729.49,720.56,729.27,1226253,722.34,729.49,720.56,729.27,1226253,0.0,1.0
goog,2016-06-06 00:00:00+00:00,716.55,724.91,714.61,724.91,1566059,716.55,724.91,714.61,724.91,1566059,0.0,1.0
goog,2016-06-07 00:00:00+00:00,716.65,721.98,716.55,719.84,1336754,716.65,721.98,716.55,719.84,1336754,0.0,1.0
goog,2016-06-08 00:00:00+00:00,728.28,728.57,720.58,723.96,1583701,728.28,728.57,720.58,723.96,1583701,0.0,1.0
goog,2016-06-09 00:00:00+00:00,728.58,729.54,722.3361,722.87,988914,728.58,729.54,722.3361,722.87,988914,0.0,1.0
goog,2016-06-10 00:00:00+00:00,719.41,725.89,716.43,719.47,1216443,719.41,725.89,716.43,719.47,1216443,0.0,1.0
goog,2016-06-13 00:00:00+00:00,718.36,725.44,716.51,716.51,1258930,718.36,725.44,716.51,716.51,1258930,0.0,1.0
goog,2016-06-14 00:00:00+00:00,718.27,722.47,713.12,716.48,1306065,718.27,722.47,713.12,716.48,1306065,0.0,1.0
goog,2016-06-15 00:00:00+00:00,718.92,722.98,717.31,719.0,1214517,718.92,722.98,717.31,719.0,1214517,0.0,1.0
goog,2016-06-16 00:00:00+00:00,710.36,716.65,703.26,714.91,1982471,710.36,716.65,703.26,714.91,1982471,0.0,1.0
goog,2016-06-17 00:00:00+00:00,691.72,708.82,688.4515,708.65,3402357,691.72,708.82,688.4515,708.65,3402357,0.0,1.0
goog,2016-06-20 00:00:00+00:00,693.71,702.48,693.41,698.77,2082538,693.71,702.48,693.41,698.77,2082538,0.0,1.0
goog,2016-06-21 00:00:00+00:00,695.94,702.77,692.01,698.4,1465634,695.94,702.77,692.01,698.4,1465634,0.0,1.0
goog,2016-06-22 00:00:00+00:00,697.46,700.86,693.0819,699.06,1184318,697.46,700.86,693.0819,699.06,1184318,0.0,1.0
goog,2016-06-23 00:00:00+00:00,701.87,701.95,687.0,697.45,2171415,701.87,701.95,687.0,697.45,2171415,0.0,1.0
goog,2016-06-24 00:00:00+00:00,675.22,689.4,673.45,675.17,4449022,675.22,689.4,673.45,675.17,4449022,0.0,1.0
goog,2016-06-27 00:00:00+00:00,668.26,672.3,663.284,671.0,2641085,668.26,672.3,663.284,671.0,2641085,0.0,1.0
goog,2016-06-28 00:00:00+00:00,680.04,680.33,673.0,678.97,2173762,680.04,680.33,673.0,678.97,2173762,0.0,1.0
goog,2016-06-29 00:00:00+00:00,684.11,687.4292,681.41,683.0,1932561,684.11,687.4292,681.41,683.0,1932561,0.0,1.0
goog,2016-06-30 00:00:00+00:00,692.1,692.32,683.65,685.47,1597714,692.1,692.32,683.65,685.47,1597714,0.0,1.0
goog,2016-07-01 00:00:00+00:00,699.21,700.65,692.1301,692.2,1344710,699.21,700.65,692.1301,692.2,1344710,0.0,1.0
goog,2016-07-05 00:00:00+00:00,694.49,696.94,688.88,696.06,1462616,694.49,696.94,688.88,696.06,1462616,0.0,1.0
